areaType,areaName,areaCode,date,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateChange,newCasesBySpecimenDateChangePercentage
overview,United Kingdom,K02000001,2021-09-23,235380,350.89999999999997726,35861,18
overview,United Kingdom,K02000001,2021-09-22,229378,341.89999999999997726,25627,12.599999999999999645
overview,United Kingdom,K02000001,2021-09-21,223184,332.69999999999998863,14136,6.7999999999999998224
overview,United Kingdom,K02000001,2021-09-20,215854,321.80000000000001137,-312,-0.10000000000000000555
overview,United Kingdom,K02000001,2021-09-19,209847,312.80000000000001137,-16384,-7.2000000000000001776
overview,United Kingdom,K02000001,2021-09-18,202965,302.60000000000002274,-30870,-13.199999999999999289
overview,United Kingdom,K02000001,2021-09-17,199874,298,-42131,-17.399999999999998579
overview,United Kingdom,K02000001,2021-09-16,199519,297.39999999999997726,-51808,-20.600000000000001421
overview,United Kingdom,K02000001,2021-09-15,203751,303.69999999999998863,-55777,-21.5
overview,United Kingdom,K02000001,2021-09-14,209048,311.60000000000002274,-58078,-21.699999999999999289
overview,United Kingdom,K02000001,2021-09-13,216166,322.19999999999998863,-57425,-21
overview,United Kingdom,K02000001,2021-09-12,226231,337.19999999999998863,-37389,-14.199999999999999289
overview,United Kingdom,K02000001,2021-09-11,233835,348.60000000000002274,-24228,-9.4000000000000003553
overview,United Kingdom,K02000001,2021-09-10,242005,360.80000000000001137,-11866,-4.7000000000000001776
overview,United Kingdom,K02000001,2021-09-09,251327,374.69999999999998863,2300,0.9000000000000000222
overview,United Kingdom,K02000001,2021-09-08,259528,386.89999999999997726,15128,6.2000000000000001776
overview,United Kingdom,K02000001,2021-09-07,267126,398.19999999999998863,27469,11.5
overview,United Kingdom,K02000001,2021-09-06,273591,407.89999999999997726,41383,17.800000000000000711
overview,United Kingdom,K02000001,2021-09-05,263620,393,26547,11.199999999999999289
overview,United Kingdom,K02000001,2021-09-04,258063,384.69999999999998863,18372,7.7000000000000001776
overview,United Kingdom,K02000001,2021-09-03,253871,378.5,13241,5.5
overview,United Kingdom,K02000001,2021-09-02,249027,371.19999999999998863,9883,4.0999999999999996447
overview,United Kingdom,K02000001,2021-09-01,244400,364.30000000000001137,6386,2.7000000000000001776
overview,United Kingdom,K02000001,2021-08-31,239657,357.30000000000001137,1705,0.69999999999999995559
overview,United Kingdom,K02000001,2021-08-30,232208,346.19999999999998863,-5891,-2.5
overview,United Kingdom,K02000001,2021-08-29,237073,353.39999999999997726,1804,0.80000000000000004441
overview,United Kingdom,K02000001,2021-08-28,239691,357.30000000000001137,7813,3.3999999999999999112
overview,United Kingdom,K02000001,2021-08-27,240630,358.69999999999998863,12201,5.2999999999999998224
overview,United Kingdom,K02000001,2021-08-26,239144,356.5,13943,6.2000000000000001776
overview,United Kingdom,K02000001,2021-08-25,238014,354.80000000000001137,17516,7.9000000000000003553
overview,United Kingdom,K02000001,2021-08-24,237952,354.69999999999998863,22725,10.599999999999999645
overview,United Kingdom,K02000001,2021-08-23,238099,354.89999999999997726,29117,13.900000000000000355
overview,United Kingdom,K02000001,2021-08-22,235269,350.69999999999998863,30959,15.199999999999999289
overview,United Kingdom,K02000001,2021-08-21,231878,345.69999999999998863,30067,14.900000000000000355
overview,United Kingdom,K02000001,2021-08-20,228429,340.5,29147,14.599999999999999645
overview,United Kingdom,K02000001,2021-08-19,225201,335.69999999999998863,26827,13.5
overview,United Kingdom,K02000001,2021-08-18,220498,328.69999999999998863,22177,11.199999999999999289
overview,United Kingdom,K02000001,2021-08-17,215227,320.80000000000001137,17917,9.0999999999999996447
overview,United Kingdom,K02000001,2021-08-16,208982,311.5,12783,6.5
overview,United Kingdom,K02000001,2021-08-15,204310,304.60000000000002274,10363,5.2999999999999998224
overview,United Kingdom,K02000001,2021-08-14,201811,300.80000000000001137,9757,5.0999999999999996447
overview,United Kingdom,K02000001,2021-08-13,199282,297.10000000000002274,9185,4.7999999999999998224
overview,United Kingdom,K02000001,2021-08-12,198374,295.69999999999998863,11531,6.2000000000000001776
overview,United Kingdom,K02000001,2021-08-11,198321,295.60000000000002274,14652,8
overview,United Kingdom,K02000001,2021-08-10,197310,294.10000000000002274,15709,8.6999999999999992895
overview,United Kingdom,K02000001,2021-08-09,196199,292.5,15371,8.5
overview,United Kingdom,K02000001,2021-08-08,193947,289.10000000000002274,12993,7.2000000000000001776
overview,United Kingdom,K02000001,2021-08-07,192054,286.30000000000001137,9841,5.4000000000000003553
overview,United Kingdom,K02000001,2021-08-06,190097,283.39999999999997726,5560,3
overview,United Kingdom,K02000001,2021-08-05,186843,278.5,-688,-0.4000000000000000222
overview,United Kingdom,K02000001,2021-08-04,183669,273.80000000000001137,-6708,-3.5
overview,United Kingdom,K02000001,2021-08-03,181601,270.69999999999998863,-14054,-7.2000000000000001776
overview,United Kingdom,K02000001,2021-08-02,180828,269.60000000000002274,-24852,-12.099999999999999645
overview,United Kingdom,K02000001,2021-08-01,180954,269.80000000000001137,-42228,-18.899999999999998579
overview,United Kingdom,K02000001,2021-07-31,182213,271.60000000000002274,-54701,-23.100000000000001421
overview,United Kingdom,K02000001,2021-07-30,184537,275.10000000000002274,-67750,-26.899999999999998579
overview,United Kingdom,K02000001,2021-07-29,187531,279.60000000000002274,-91709,-32.799999999999997158
overview,United Kingdom,K02000001,2021-07-28,190377,283.80000000000001137,-118870,-38.399999999999998579
overview,United Kingdom,K02000001,2021-07-27,195655,291.69999999999998863,-132480,-40.399999999999998579
overview,United Kingdom,K02000001,2021-07-26,205680,306.60000000000002274,-130114,-38.700000000000002842
overview,United Kingdom,K02000001,2021-07-25,223182,332.69999999999998863,-109360,-32.899999999999998579
overview,United Kingdom,K02000001,2021-07-24,236914,353.19999999999998863,-90144,-27.600000000000001421
overview,United Kingdom,K02000001,2021-07-23,252287,376.10000000000002274,-64795,-20.399999999999998579
overview,United Kingdom,K02000001,2021-07-22,279240,416.30000000000001137,-15833,-5.4000000000000003553
overview,United Kingdom,K02000001,2021-07-21,309247,461,41578,15.5
overview,United Kingdom,K02000001,2021-07-20,328135,489.19999999999998863,76480,30.399999999999998579
overview,United Kingdom,K02000001,2021-07-19,335794,500.60000000000002274,95505,39.700000000000002842
overview,United Kingdom,K02000001,2021-07-18,332542,495.69999999999998863,101704,44.100000000000001421
overview,United Kingdom,K02000001,2021-07-17,327058,487.60000000000002274,101572,45
overview,United Kingdom,K02000001,2021-07-16,317082,472.69999999999998863,95908,43.399999999999998579
overview,United Kingdom,K02000001,2021-07-15,295073,439.89999999999997726,80338,37.399999999999998579
overview,United Kingdom,K02000001,2021-07-14,267669,399,58171,27.800000000000000711
overview,United Kingdom,K02000001,2021-07-13,251655,375.10000000000002274,51639,25.800000000000000711
overview,United Kingdom,K02000001,2021-07-12,240289,358.19999999999998863,48040,25
overview,United Kingdom,K02000001,2021-07-11,230838,344.10000000000002274,45032,24.199999999999999289
overview,United Kingdom,K02000001,2021-07-10,225486,336.10000000000002274,46223,25.800000000000000711
overview,United Kingdom,K02000001,2021-07-09,221174,329.69999999999998863,49503,28.800000000000000711
overview,United Kingdom,K02000001,2021-07-08,214735,320.10000000000002274,51069,31.199999999999999289
overview,United Kingdom,K02000001,2021-07-07,209498,312.30000000000001137,55644,36.200000000000002842
overview,United Kingdom,K02000001,2021-07-06,200016,298.19999999999998863,56582,39.399999999999998579
overview,United Kingdom,K02000001,2021-07-05,192249,286.60000000000002274,59408,44.700000000000002842
overview,United Kingdom,K02000001,2021-07-04,185806,277,64756,53.5
overview,United Kingdom,K02000001,2021-07-03,179263,267.19999999999998863,66467,58.899999999999998579
overview,United Kingdom,K02000001,2021-07-02,171671,255.90000000000000568,66593,63.399999999999998579
overview,United Kingdom,K02000001,2021-07-01,163666,244,66311,68.099999999999994316
overview,United Kingdom,K02000001,2021-06-30,153854,229.40000000000000568,64025,71.299999999999997158
